ts,ec2,nodes_total,mng,karpenter,empty_worker,pods_user,pods_product,pods_stress,pods_pause,pending
1786846245,3,3,1,2,1,1,1,1,0,0
1786846262,4,3,1,2,0,1,1,2,0,1
1786846280,4,4,1,3,1,1,1,2,0,0
1786846297,4,4,1,3,1,1,1,2,0,1
1786846315,4,4,1,3,0,1,1,3,0,0
1786846333,4,4,1,3,2,1,1,1,0,0
1786846350,4,4,1,3,0,1,1,3,0,3
1786846368,4,4,1,3,0,1,1,3,0,3
1786846385,4,4,1,3,0,1,1,3,0,0
1786846402,4,4,1,3,0,1,1,3,0,0
1786846420,4,4,1,3,0,1,1,3,0,0
1786846437,4,4,1,3,0,1,1,3,0,0
1786846455,4,4,1,3,1,1,1,2,0,0
1786846472,4,3,1,2,0,1,1,3,0,0
1786846490,3,3,1,2,0,1,1,2,0,0
1786846507,4,3,1,2,0,1,1,2,0,1
1786846525,4,3,1,2,0,1,1,2,0,1
1786846543,4,4,1,3,2,1,1,1,0,0
1786846560,4,4,1,3,0,1,1,3,0,0
1786846578,4,4,1,3,0,1,1,3,0,1
1786846595,4,4,1,3,0,1,1,3,0,1
1786846612,4,4,1,3,0,1,1,3,0,1
1786846630,4,4,1,3,2,1,1,1,0,0
1786846647,4,4,1,3,0,1,1,3,0,0
1786846665,5,4,1,3,0,1,1,3,0,1
1786846683,5,5,1,4,1,1,1,3,0,1
1786846700,5,5,1,4,3,1,1,1,0,0
1786846718,4,4,1,3,1,1,1,2,0,0
1786846735,4,4,1,3,1,1,1,2,0,0
1786846752,3,3,1,2,0,1,1,2,0,0
1786846770,3,3,1,2,1,1,1,1,0,0
1786846787,3,3,1,2,0,1,1,2,0,1
1786846805,4,3,1,2,0,1,1,2,0,1
1786846823,4,4,1,3,1,1,1,2,0,1
1786846840,4,4,1,3,2,1,1,1,0,0
1786846858,5,4,1,3,0,1,1,3,0,1
1786846875,5,4,1,3,0,1,1,3,0,1
1786846893,5,5,1,4,2,1,1,2,0,2
1786846910,5,5,1,4,0,1,1,4,0,0
1786846928,5,5,1,4,0,1,1,4,0,0
1786846945,5,5,1,4,2,1,1,2,0,0
1786846963,5,5,1,4,1,1,1,3,0,0
1786846980,4,4,1,3,0,1,1,3,0,0
1786846998,4,4,1,3,0,1,1,3,0,0
1786847015,4,4,1,3,0,1,1,3,0,0
1786847033,4,4,1,3,0,1,1,3,0,0
1786847050,4,4,1,3,2,1,1,1,0,0
1786847068,4,4,1,3,0,2,1,2,0,0
1786847085,4,4,1,3,0,2,1,2,0,0
1786847103,6,4,1,3,0,1,1,3,0,3
1786847120,7,5,1,4,1,1,1,3,0,3
1786847138,7,7,1,6,3,1,1,3,0,1
1786847155,7,7,1,6,4,1,1,2,0,0
1786847173,7,7,1,6,4,1,1,2,0,0
1786847190,6,6,1,5,0,1,1,5,0,0
1786847208,7,6,1,5,0,1,1,5,0,8
1786847226,8,7,1,6,1,1,1,5,0,8
1786847243,8,7,1,6,3,1,1,3,0,0
1786847261,8,8,1,7,6,1,1,1,0,0
1786847278,9,7,1,6,0,4,1,3,0,2
1786847296,10,7,1,6,0,4,1,3,0,7
1786847314,10,10,1,9,1,4,1,5,0,0
1786847331,10,10,1,9,6,1,1,3,0,0
1786847349,10,10,1,9,5,2,1,3,0,1
1786847366,6,6,1,5,1,2,1,3,0,0
1786847384,6,5,1,4,0,3,1,3,0,0
1786847401,10,5,1,4,0,2,1,3,0,5
1786847419,10,5,1,4,0,1,1,4,0,4
1786847437,10,10,1,9,3,2,1,5,0,3
1786847454,10,10,1,9,0,2,1,8,0,0
1786847471,10,10,1,9,2,3,1,6,0,0
